"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MH3,MH2,MH4,MH1";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
2;"R3";"RESC6332X65N";1;"140 Ω";;;
3;"C8";"CAPC2012X135N";1;"47 μF";;;
4;"D2";"LED_D3.0mm";1;"GRN_XB";;;
5;"R4";"RESC6332X70N";1;"80 Ω";;;
6;"C13,C17,C4,C18,C16";"CAPC1005X55N";5;"1 μF";;;
7;"D4";"LED_D3.0mm";1;"BLU_TR_DMR";;;
8;"U1";"DIP2200W51P200L3294H279Q20P";1;"XBee Module (XBP9B-DMSTB002)";;;
9;"C12,C15,C1,C2,C3,C14,C19";"CAPC1005X70N";7;"10 μF";;;
10;"IC1";"SOT95P280X110-5N";1;"TLV61047DDCR";;;
11;"L2";"IND_XAL4040-103MEC";1;"10 μH";;;
12;"J1";"GRADCONN_RFPC-SMA30-F";1;"SMA Conn. (RFPC-SMA30-F)";;;
13;"R5";"RESC1608X55N";1;"53.6 kΩ";;;
14;"IC2";"SOIC127P600X175-9N";1;"Voltage Converter (ADP7158ARDZ-3.3-R7)";;;
15;"D3";"LED_D3.0mm";1;"YLW_ASC_XB";;;
16;"D1";"LED_D3.0mm";1;"GRN_DMR";;;
17;"H1,H2";"RHDR52W64P254_2X26_6654X495X1135P";2;"Spacecraft Bus (ESQ-126-39-G-D-001)";;;
18;"C5";"CAPC1005X55N";1;"47 pF";;;
19;"D5";"Nexperia_CFP3_SOD-123W";1;"PMEG3020BER";;;
20;"C9";"CAPC1005X55N";1;"100 pF";;;
21;"U2";"DMR818S-5W";1;"DMR Module (DMR818S-5W)";;;
22;"R2,R1";"RESC6332X65N";2;"130 Ω";;;
23;"SW1";"SS5GLD2";1;"Inhibit Switch (SS5GLD2)";;;
24;"R6";"RESC1005X40N";1;"10 kΩ";;;
25;"C6";"CAPC1608X90";1;"100 nF";;;
